cruise,cast,niskin,niskin_other_method,station,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu0,mu0_std,g,g_std,muN,muN_std
en627,25',5-6',NA',L11,,NaN,2019-02-04 12:02:14+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.776715,-70.890255,29.8255,7.95585,1,10.4538615916955,1.57272388494504,15%,>0&<200,1.504643597868,0.31249584908965,1.19214774877835,0.20768762086413,0.79231237913587,1,0.561312882460463,0.346139250002344,0.152580629488128,-0.615201860034239,0.177877095529441,NaN,NaN
en627,25',5-6',NA',L11,,NaN,2019-02-04 12:02:14+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.776715,-70.890255,29.8255,7.95585,1,10.4538615916955,1.57272388494504,15%,>10&<200,1.504643597868,0.31249584908965,1.19214774877835,0.20768762086413,0.79231237913587,1,0.561312882460463,NaN,NaN,0,0,0.347205268928117,0.0958601327833218
en627,25',9-10-11',NA',L11,,NaN,2019-02-04 12:05:13+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.7767,-70.891,4.914,7.4928,1,10.4538615916955,1.57272388494504,15%,>0&<10,1.9829535709644,0.56520295154225,1.41775061942215,0.285030854891558,0.714969145108442,1,0.2576735210758,NaN,NaN,0,0,-0.301524272170589,0.29317810757542
en627,25',9-10-11',NA',L11,,NaN,2019-02-04 12:05:13+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.7767,-70.891,4.914,7.4928,1,10.4538615916955,1.57272388494504,15%,>0&<200,1.9829535709644,0.56520295154225,1.41775061942215,0.285030854891558,0.714969145108442,1,0.2576735210758,0.480112190682532,0.104801905923373,0.27734134737424,0.0786912478566422,NaN,NaN
en627,25',9-10-11',NA',L11,,NaN,2019-02-04 12:05:13+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.7767,-70.891,4.914,7.4928,1,10.4538615916955,1.57272388494504,15%,>10&<200,1.9829535709644,0.56520295154225,1.41775061942215,0.285030854891558,0.714969145108442,1,0.2576735210758,NaN,NaN,0,0,0.363761569804362,0.0631273811403359
en627,25',9-10-11',NA',L11,,NaN,2019-02-04 12:05:13+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.7767,-70.891,4.914,7.4928,1,10.4538615916955,1.57272388494504,65%,>0&<10,1.9829535709644,0.56520295154225,1.41775061942215,0.285030854891558,0.714969145108442,1,0.2576735210758,NaN,NaN,0,0,-0.256016756075974,1.00126691358773
en627,25',9-10-11',NA',L11,,NaN,2019-02-04 12:05:13+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.7767,-70.891,4.914,7.4928,1,10.4538615916955,1.57272388494504,65%,>0&<200,1.9829535709644,0.56520295154225,1.41775061942215,0.285030854891558,0.714969145108442,1,0.2576735210758,0.278436533010974,0.135273052216257,0,0,NaN,NaN
en627,25',9-10-11',NA',L11,,NaN,2019-02-04 12:05:13+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.7767,-70.891,4.914,7.4928,1,10.4538615916955,1.57272388494504,65%,>10&<200,1.9829535709644,0.56520295154225,1.41775061942215,0.285030854891558,0.714969145108442,1,0.2576735210758,NaN,NaN,0,0,0.21132844243786,0.165671309369428
en627,3',8-10-11',NA',L1,,NaN,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,15%,>0&<10,2.23187405279665,0,2.23187405279665,0,1,1.01041666674428,0.127763688966675,NaN,NaN,NaN,NaN,NaN,NaN
en627,3',8-10-11',NA',L1,,NaN,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,15%,>0&<200,2.23187405279665,0,2.23187405279665,0,1,1.01041666674428,0.127763688966675,0.268314023570633,0.10724683434522,0,0,NaN,NaN
en627,3',8-10-11',NA',L1,,NaN,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,15%,>10&<200,2.23187405279665,0,2.23187405279665,0,1,1.01041666674428,0.127763688966675,NaN,NaN,0,0,0.254817664608619,0.126132456417763
en627,3',8-10-11',NA',L1,,NaN,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,65%,>0&<10,2.23187405279665,0,2.23187405279665,0,1,1.01041666674428,0.127763688966675,NaN,NaN,NaN,NaN,NaN,NaN
en627,3',8-10-11',NA',L1,,NaN,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,65%,>0&<200,2.23187405279665,0,2.23187405279665,0,1,1.01041666674428,0.127763688966675,0.309766257869849,0.110870827883996,0,0,NaN,NaN
en627,3',8-10-11',NA',L1,,NaN,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,65%,>10&<200,2.23187405279665,0,2.23187405279665,0,1,1.01041666674428,0.127763688966675,NaN,NaN,0,0,0.376285938400245,0.069312762990479
en627,30',1-2-3-4',NA',L11,,NaN,2019-02-05 06:39:33+00:00,2019-02-05 07:30:00+00:00,2019-02-06 07:30:00+00:00,39.7789475,-70.88597,4.89175,6.4656,1,8.39585813148788,1.76492665214233,65%,>0,2.39928254338039,NaN,NaN,NaN,NaN,1,0.264710768515134,-0.0279456596382807,0.177012969857482,0,0,NaN,NaN
en627,30',1-2-3-4',NA',L11,,NaN,2019-02-05 06:39:33+00:00,2019-02-05 07:30:00+00:00,2019-02-06 07:30:00+00:00,39.7789475,-70.88597,4.89175,6.4656,1,8.39585813148788,1.76492665214233,65%,>0&<200,2.39928254338039,NaN,NaN,NaN,NaN,1,0.264710768515134,NaN,NaN,0.247477279635238,0.0634110757583336,0.0239116948581865,0.0978080151973045
en627,8',9-10-11',NA',L3,,NaN,2019-02-02 10:18:01+00:00,2019-02-02 11:20:00+00:00,2019-02-03 11:35:00+00:00,40.8643166666667,-70.8878933333333,5.02933333333333,6.06763333333333,1,5.8894897260274,1.33532751168691,15%,>0&<10,3.21476118834533,0,3.21476118834533,0,1,1.01041666662786,0.147210891101385,NaN,NaN,NaN,NaN,NaN,NaN
en627,8',9-10-11',NA',L3,,NaN,2019-02-02 10:18:01+00:00,2019-02-02 11:20:00+00:00,2019-02-03 11:35:00+00:00,40.8643166666667,-70.8878933333333,5.02933333333333,6.06763333333333,1,5.8894897260274,1.33532751168691,15%,>0&<200,3.21476118834533,0,3.21476118834533,0,1,1.01041666662786,0.147210891101385,0.0801555364463632,0.191127342805029,0,0,NaN,NaN
en627,8',9-10-11',NA',L3,,NaN,2019-02-02 10:18:01+00:00,2019-02-02 11:20:00+00:00,2019-02-03 11:35:00+00:00,40.8643166666667,-70.8878933333333,5.02933333333333,6.06763333333333,1,5.8894897260274,1.33532751168691,15%,>10&<200,3.21476118834533,0,3.21476118834533,0,1,1.01041666662786,0.147210891101385,NaN,NaN,0,0,-0.0433496400900748,0.1443901056148
en627,8',9-10-11',NA',L3,,NaN,2019-02-02 10:18:01+00:00,2019-02-02 11:20:00+00:00,2019-02-03 11:35:00+00:00,40.8643166666667,-70.8878933333333,5.02933333333333,6.06763333333333,1,5.8894897260274,1.33532751168691,65%,>0&<10,3.21476118834533,0,3.21476118834533,0,1,1.01041666662786,0.147210891101385,NaN,NaN,NaN,NaN,NaN,NaN
en627,8',9-10-11',NA',L3,,NaN,2019-02-02 10:18:01+00:00,2019-02-02 11:20:00+00:00,2019-02-03 11:35:00+00:00,40.8643166666667,-70.8878933333333,5.02933333333333,6.06763333333333,1,5.8894897260274,1.33532751168691,65%,>0&<200,3.21476118834533,0,3.21476118834533,0,1,1.01041666662786,0.147210891101385,0.116310617330025,0.108357907564919,0.266985157299529,0.0768443944771411,NaN,NaN
en627,8',9-10-11',NA',L3,,NaN,2019-02-02 10:18:01+00:00,2019-02-02 11:20:00+00:00,2019-02-03 11:35:00+00:00,40.8643166666667,-70.8878933333333,5.02933333333333,6.06763333333333,1,5.8894897260274,1.33532751168691,65%,>10&<200,3.21476118834533,0,3.21476118834533,0,1,1.01041666662786,0.147210891101385,NaN,NaN,0,0,-0.0228053275202797,0.0640669219941061
