cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,b,c,>0&<200,151,6,1.393,2.13,34.9,20.7,0.513,0.513,34.387,20.187,1.70342299499678,1.48154526167731,0.898453910375666,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,65%,a,a,>0&<200,151,6,1.393,2.13,126,73.3,0.513,0.513,125.487,72.787,1.72403039004218,5.49841093594327,3.0830028321362,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,65%,a,b,>0&<200,151,6,1.393,2.13,113,66.4,0.513,0.513,112.487,65.887,1.70727154066811,4.86197247846217,2.90594773994843,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,65%,a,c,>0&<200,151,6,1.393,2.13,130,69.8,0.513,0.513,129.487,69.287,1.86884985639442,6.28091723612495,1.88785487632538,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,65%,b,a,>0&<200,151,6,1.393,2.13,25.6,72.9,0.513,0.513,25.087,72.387,0.346567753878459,-4.93500639981246,13.4692611215343,3,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,65%,b,b,>0&<200,151,6,1.393,2.13,14.2,70.7,0.513,0.513,13.687,70.187,0.195007622494194,-5.89488079470199,14.169760761457,3,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,65%,b,c,>0&<200,151,6,1.393,2.13,5.04,71.7,0.513,0.513,4.527,71.187,0.0635930717687218,-6.95491599601477,15.3476935786638,3,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,a,a,>0&<200,151,6,1.393,2.13,128,76.6,0.513,0.513,127.487,76.087,1.67554247111859,5.36277651057845,3.60769938995136,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,a,b,>0&<200,151,6,1.393,2.13,134,73.2,0.513,0.513,133.487,72.687,1.83646319149229,6.34351774013948,2.22610626635058,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,a,c,>0&<200,151,6,1.393,2.13,105,68.9,0.513,0.513,104.487,68.387,1.52787810548788,3.76646365820782,4.29620059993788,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,b,a,>0&<200,151,6,1.393,2.13,140,76.5,0.513,0.513,139.487,75.987,1.83566925921539,6.62522000820489,2.33346613073551,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,b,b,>0&<200,151,6,1.393,2.13,118,76.1,0.513,0.513,117.487,75.587,1.55432812520672,4.37160186368165,4.53992522890113,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,b,c,>0&<200,151,6,1.393,2.13,111,72.8,0.513,0.513,110.487,72.287,1.52844909873145,3.98556542225869,4.53689953787376,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,a,a,>10&<200,151,6,1.393,2.13,34.2,17.4,0.513,0.513,33.687,16.887,1.99484810801208,1.75281411240696,0.238122927195685,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,a,b,>10&<200,151,6,1.393,2.13,31.1,15.8,0.513,0.513,30.587,15.287,2.0008503957611,1.59631285237063,0.205988001801559,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,a,c,>10&<200,151,6,1.393,2.13,28.3,17.3,0.513,0.513,27.787,16.787,1.65526895812236,1.14767590693313,0.831471371080115,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,b,a,>10&<200,151,6,1.393,2.13,42.7,22,0.513,0.513,42.187,21.487,1.96337320240145,2.15971738850144,0.373548684213795,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,b,b,>10&<200,151,6,1.393,2.13,33.6,17,0.513,0.513,33.087,16.487,2.006853884879,1.73194727773545,0.211830715509581,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,b,c,>10&<200,151,6,1.393,2.13,32.8,16.8,0.513,0.513,32.287,16.287,1.98237858414687,1.66934677372092,0.250851696345308,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,a,a,>10&<200,151,6,1.393,2.13,114,56.8,0.513,0.513,113.487,56.287,2.01622044166504,5.96791471605228,0.668188389775537,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,65%,a,b,>10&<200,151,6,1.393,2.13,124,59.6,0.513,0.513,123.487,59.087,2.08991825613079,6.71912076422669,0.247095666104437,1,NaN,NaN
