cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level_HL,light_level_LL,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10,k_wsw_NoN_HL_u10,k_wsw_N_HL_u10,k_dil_LL_u10,k_wsw_NoN_LL_u10,k_wsw_N_LL_u10,k_dil_HL_d10,k_wsw_NoN_HL_d10,k_wsw_N_HL_d10,k_dil_LL_d10,k_wsw_NoN_LL_d10,k_wsw_N_LL_d10,k_dil_HL_d10_sf,k_wsw_NoN_HL_d10_sf,k_wsw_N_HL_d10_sf,k_dil_LL_d10_sf,k_wsw_NoN_LL_d10_sf,k_wsw_N_LL_d10_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
ar66,19',22-23-24',NA,,NaN,,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,-0.0478551136377719,-0.150448488043091,-0.0221775491909204,NaN,NaN,NaN,NaN,0.12720763948554,0.196118738067305,NaN,NaN,NaN,NaN,-0.476527937005091,-0.203662820235155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,19',22-23-24',NA,,NaN,,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,-0.0879203976838897,-0.176303260042169,NaN,NaN,NaN,NaN,NaN,0.155346441021042,0.289279561597502,NaN,NaN,NaN,NaN,-0.50761835502343,-0.2928956235361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,19',22-23-24',NA,,NaN,,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,0.0634970772827997,NaN,NaN,NaN,NaN,NaN,0.324540232842244,NaN,0.268858368076965,NaN,NaN,NaN,-0.321999723259727,NaN,-0.271902435088229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,19',22-23-24',NA,,NaN,,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,0.05467847371996,NaN,-0.0702375432628502,NaN,NaN,NaN,0.483472781383746,NaN,0.159959952617267,NaN,NaN,NaN,-0.589335460789966,NaN,-0.173098415543333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,19',22-23-24',NA,,NaN,,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,0.0277445395355646,NaN,-0.100668271818828,NaN,NaN,NaN,0.19634717990451,NaN,0.272976221883469,NaN,NaN,NaN,-0.170438626267044,NaN,-0.276065842246643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,20',20-21-22',NA,,NaN,,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,-0.0346566865437689,-0.386399345725663,0.0335024373241227,NaN,NaN,NaN,NaN,-0.29201663627322,0.109500578827361,NaN,NaN,NaN,NaN,-0.395589143679652,-0.217704151394388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,20',20-21-22',NA,,NaN,,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,-0.0225353260114192,-0.427501021411215,-0.00585058888203321,NaN,NaN,NaN,0.114226284290149,-0.287299646395079,0.0870996421381933,NaN,NaN,NaN,-0.327543605876907,-0.405196903734829,-0.163192386884959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,20',20-21-22',NA,,NaN,,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,0.00127532268229932,-0.374722816063829,0.0224158492677829,NaN,NaN,NaN,NaN,-0.289655360087541,0.02708163241194,NaN,NaN,NaN,NaN,-0.400381485119956,-0.035308490335695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,20',20-21-22',NA,,NaN,,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,NaN,-0.270855952662784,0.00328189468123941,NaN,NaN,NaN,0.104836543940311,-0.171872324431157,-0.0817212274368598,NaN,NaN,NaN,-0.309049023240744,-0.694220717968465,0.14707481581763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,20',20-21-22',NA,,NaN,,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65%,NA,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,0.00714044213469522,-0.301207296086923,0.0246430216806063,NaN,NaN,NaN,0.14187781562066,-0.188786046873219,0.0592061192157106,NaN,NaN,NaN,-0.385172718713546,-0.643948352715022,-0.100761348086953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
