cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10um,k_wsw_NoN_HL_u10um,k_wsw_N_HL_u10um,k_dil_LL_u10um,k_wsw_NoN_LL_u10um,k_wsw_N_LL_u10um,k_dil_HL_d10um,k_wsw_NoN_HL_d10um,k_wsw_N_HL_d10um,k_dil_LL_d10um,k_wsw_NoN_LL_d10um,k_wsw_N_LL_d10um,k_dil_HL_10um_sf,k_wsw_NoN_HL_10um_sf,k_wsw_N_HL_10um_sf,k_dil_LL_10um_sf,k_wsw_NoN_LL_10um_sf,k_wsw_N_LL_10um_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,0.114523146707899,0.0812781963844801,-0.0500073714507342,NaN,NaN,NaN,0.273875540541566,0.188969657854085,0.0793949698781918,NaN,NaN,NaN,-2.4523304793533,-2.51816387154454,-0.45848147984511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,-0.117603640594929,0.092181844426663,0.0236123320423179,NaN,NaN,NaN,0.124654829215559,0.0987575240891814,0.186270309456938,NaN,NaN,NaN,-0.610560589550656,-0.636378250658698,-2.23921547906147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,0.0519767117272645,-0.0796111797055902,0.125363388871166,NaN,NaN,NaN,0.165779045064866,-0.0539387815503868,-0.157025892760981,NaN,NaN,NaN,-0.858396753455235,0.184072359692305,0.478437589374096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,0.0469980613394756,-0.221048020297919,NaN,NaN,NaN,NaN,-0.122316542141311,-0.527627870599822,0.177834683427662,NaN,NaN,NaN,0.486893975738955,0.409244685991721,-0.82007504753926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,-0.0812214932215564,-0.146487281684128,-0.00630360422507717,NaN,NaN,NaN,NaN,0.137653243160784,0.231447355253018,NaN,NaN,NaN,NaN,-0.790200719235283,-1.16357022315217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,NaN,-0.0573620985599339,-0.0839289402398074,NaN,NaN,NaN,-0.01413166923414,0.0429624885650018,0.069711317604241,NaN,NaN,NaN,0.239878723445545,-0.426071430899814,-0.391685758798245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,0.0369333207906562,-0.205673353155366,-0.0188200729293403,NaN,NaN,NaN,-0.0488780834378556,0.112725816117196,-0.108283964969695,NaN,NaN,NaN,0.329343402622815,-0.67669962037746,0.00770822432852516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,0.0216389424089097,-0.0314990977154778,-0.0639363401474764,NaN,NaN,NaN,0.048662060080275,-0.287335246766646,NaN,NaN,NaN,NaN,0.0433448919122603,0.188848333254567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,0.193190167351911,0.059807697906478,-0.16826375003817,NaN,NaN,NaN,-0.631243708290365,-0.32349757301912,-0.506770009990845,NaN,NaN,NaN,1.04705830297567,0.22921174908179,0.443476333635781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,2',22-23',NA,2022-02-17 02:46:32+00:00,2022-02-17 03:20:00+00:00,2022-02-18 03:32:00+00:00,0,0,0,1.00833333330229,0.166788176724228,0.695928319280969,-0.0390808627985477,0.00812658007395104,NaN,NaN,NaN,NaN,1.0273717621192,0.899107195240183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
