cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,replicate_bottle,replicate_chl,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil,k_wsw_NoN,k_wsw_N
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,b,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.58654641678465,NaN,1.34985707025193
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,b,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.59779908591737,NaN,1.58419475019029
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,b,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.4449094711306,NaN,1.71213996988335
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,a,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.67246169388889,NaN,0.726407322747966
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,a,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.6853115576261,NaN,0.927396917524396
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,a,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.71530058359946,NaN,NaN
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,b,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.51662660358924,NaN,1.49666747485824
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,b,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.51313034269286,NaN,1.42927285862012
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,b,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.55653437254827,NaN,1.38260526478178
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,15%,>0&<200,a,a,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,0.554148305753287,0.73204274332831,0.62313205165392
